排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,评价理由,原冻结药物名称,名称与实物核验说明,原适应症,目标适应症假设,跨原适应症大类,药物完整InChIKey,旧靶点ChEMBL编号,旧作用机制,新靶点基因,新靶点ChEMBL编号,参考化合物ChEMBL编号,参考化合物端点类型,参考化合物证据层级,参考化合物实验编号,参考化合物文献编号,已知药物作用类型,已知药物查询口径,参考化合物说明,阳性近邻Tanimoto,可用阳性近邻_ge04,TxGNN疾病排名,OT疾病关联分,pair_id
101,P2 第11–20排名且仍可探索,C384-043,indacaterol,Beta-2 adrenergic receptor,JAK1 — Tyrosine-protein kinase JAK1,ABROCITINIB; BARICITINIB; DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; MOMELOTINIB; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE; RUXOLITINIB PHOSPHATE; UPADACITINIB HEMIHYDRATE,CRAVACITINIB,11,仍可探索,优先查原安全panel，匹配JAK1域直接结合/酶活阳性才升级。,indacaterol–JAK1联用专利并非直接依据；移除共现后仍是未知配对，可探索。,indacaterol,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,成人COPD维持支气管扩张治疗,rheumatoid arthritis,True,QZZUEBNBZAPZLX-QFIPXVFZSA-N,CHEMBL210,Beta-2 adrenergic receptor agonist,JAK1,CHEMBL2835,CHEMBL4596392,"Kd,IC50",Kd_RECORD_PRESENT,"2317938,2353681,2353720,2418383,2418384,2418385,2418386,2418387,2432941,2633234","126595,127674,128726,128989,137014",ABROCITINIB: INHIBITOR; BARICITINIB: INHIBITOR; DEURUXOLITINIB PHOSPHATE: INHIBITOR; FILGOTINIB: INHIBITOR; FILGOTINIB MALEATE: INHIBITOR; MOMELOTINIB: INHIBITOR; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE: INHIBITOR; RUXOLITINIB PHOSPHATE: INHIBITOR; UPADACITINIB HEMIHYDRATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2178217821782178,False,42.0,0.7103468962742798,QZZUEBNBZAPZLX-QFIPXVFZSA-N__CHEMBL2835
102,P2 第11–20排名且仍可探索,C384-044,rimegepant,Calcitonin gene-related peptide type 1 receptor,JAK2 — Tyrosine-protein kinase JAK2,BARICITINIB; DEURUXOLITINIB PHOSPHATE; FEDRATINIB; FEDRATINIB HYDROCHLORIDE; FILGOTINIB; FILGOTINIB MALEATE; MOMELOTINIB; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE; PACRITINIB; PACRITINIB CITRATE; RUXOLITINIB PHOSPHATE; UPADACITINIB HEMIHYDRATE,RUXOLITINIB,11,仍可探索,核JAK2构建，先直接结合再功能；不移用其他JAK亚型细胞结论。,rimegepant–JAK2的JAK3下游变化不能跨亚型证明结合，暂无直接反证。,rimegepant,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,偏头痛急性治疗与发作性偏头痛预防,cor pulmonale,True,KRNAOFGYEFKHPB-ANJVHQHFSA-N,CHEMBL3798,Calcitonin gene-related peptide type 1 receptor antagonist,JAK2,CHEMBL2971,CHEMBL1789941,"IC50,Kd",Kd_RECORD_PRESENT,"686110,851239,874065,874070,957626,1288560,1368153,1368161,1432585,1433466,1564734,1564742,1642924,1681028,1729903,1841384,1841388,1926625,2059134,2076852,2222856,2373549,2425142,2425162,2491983,2568848,2577390,2588868,2595237,2621780","54135,65396,66642,73493,76911,84053,89675,98712,103566,105089,107037,111401,114194,118777,119422,123783,128224,128837,130574,131148,131226,131949,135146,136696",BARICITINIB: INHIBITOR; DEURUXOLITINIB PHOSPHATE: INHIBITOR; FEDRATINIB: INHIBITOR; FEDRATINIB HYDROCHLORIDE: INHIBITOR; FILGOTINIB: INHIBITOR; FILGOTINIB MALEATE: INHIBITOR; MOMELOTINIB: INHIBITOR; MOMELOTINIB DIHYDROCHLORIDE MONOHYDRATE: INHIBITOR; PACRITINIB: INHIBITOR; PACRITINIB CITRATE: INHIBITOR; RUXOLITINIB PHOSPHATE: INHIBITOR; UPADACITINIB HEMIHYDRATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2604166666666667,False,19.0,0.3183084092280177,KRNAOFGYEFKHPB-ANJVHQHFSA-N__CHEMBL2971
103,P2 第11–20排名且仍可探索,C384-045,arformoterol,Beta-2 adrenergic receptor,MMP12 — Macrophage metalloelastase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,CHEMBL2385479,11,仍可探索,已有MMP12体系才候补，先核单一异构体及酶活而非支气管舒张效应。,arformoterol–MMP12不能用COPD共现当抑酶证据，单一异构体配对仍可探索。,arformoterol,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,COPD支气管收缩长期维持；标签明确不用于哮喘或急性恶化,aortic aneurysm,True,BPZSYCZIITTYBL-YJYMSZOUSA-N,CHEMBL210,Beta-2 adrenergic receptor agonist,MMP12,CHEMBL4393,CHEMBL2385479,"Ki,Kd",Kd_RECORD_PRESENT,"960929,1564753","73680,98640",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2784810126582278,False,28.0,0.3174312769684901,BPZSYCZIITTYBL-YJYMSZOUSA-N__CHEMBL4393
104,P2 第11–20排名且仍可探索,C384-138,carbinoxamine,Histamine H1 receptor,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,11,仍可探索,在成熟FAAH体系下先检测酶活并校正非特异效应，不因咽炎图谱分高直接做梯度。,carbinoxamine–FAAH咽炎与H1背景未证明FAAH，但新靶点酶学可直接检验。,carbinoxamine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,过敏性/血管运动性鼻炎、过敏结膜炎、荨麻疹/血管水肿/皮肤划痕；过敏反应和输血过敏辅助,pharyngitis,True,OJFSXZCBGQGRNV-UHFFFAOYSA-N,CHEMBL231,Histamine H1 receptor antagonist,FAAH,CHEMBL2243,CHEMBL2386558,"Kd,IC50",Kd_RECORD_PRESENT,"960967,960986",73697,ACETAMINOPHEN: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3428571428571428,False,6.0,0.5978096511113958,OJFSXZCBGQGRNV-UHFFFAOYSA-N__CHEMBL2243
105,P2 第11–20排名且仍可探索,C384-139,ranolazine,Sodium channel protein type 4 subunit alpha; Sodium channel protein type 5 subunit alpha,KDR — Vascular endothelial growth factor receptor 2,CABOZANTINIB S-MALATE; MIDOSTAURIN; RAMUCIRUMAB; SUNITINIB,LINIFANIB,11,仍可探索,只在KDR激酶域和对照已测通时保留，SPR后核对酶活及具体疾病细胞依赖。,ranolazine–KDR缺独立结合依据，仍可在成熟KDR体系探索，疾病排名不作阳性保证。,ranolazine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,慢性心绞痛,systemic mastocytosis,True,XKLMZUWKNUAPSZ-UHFFFAOYSA-N,CHEMBL1980; CHEMBL2072,Sodium channel protein type IV alpha subunit blocker; Sodium channel protein type V alpha subunit blocker,KDR,CHEMBL279,CHEMBL223360,"IC50,Kd",Kd_RECORD_PRESENT,"429056,586493,831541,1364555,1364556,1662939,2092103","35219,48311,62836,83939,104463,119894",CABOZANTINIB S-MALATE: INHIBITOR; MIDOSTAURIN: INHIBITOR; RAMUCIRUMAB: INHIBITOR; SUNITINIB: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3648648648648648,False,47.0,0.4735909185107589,XKLMZUWKNUAPSZ-UHFFFAOYSA-N__CHEMBL279
106,P2 第11–20排名且仍可探索,C384-227,tetracaine,Sodium channel alpha subunit,CTSC — Dipeptidyl peptidase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BRENSOCATIB,11,仍可探索,成熟CTSC与功能对照，控制非特异吸附。,丁卡因–CTSC是支持弱的新机制假说，阴性近邻略近不等于该配对阴性。,tetracaine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,短效快速表面眼科麻醉操作；仅抓眼用剂，不外推其他局麻给药途径,bronchiectasis,True,GKCBAIGFKIBETG-UHFFFAOYSA-N,CHEMBL2331043,Sodium channel alpha subunit blocker,CTSC,CHEMBL2252,CHEMBL3900409,"IC50,Kd",Kd_RECORD_PRESENT,"1617559,1617560,1617595,1617597,1617598,1617599,1617600,2120712,2120713,2120714,2590971,2616939","101220,120845,133030,136597",,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.217391304347826,False,29.0,0.5171983603689836,GKCBAIGFKIBETG-UHFFFAOYSA-N__CHEMBL2252
107,P2 第11–20排名且仍可探索,C384-228,cyclobenzaprine,5-hydroxytryptamine receptor 2A; 5-hydroxytryptamine receptor 2C,MAOB — Amine oxidase [flavin-containing] B,RASAGILINE MESYLATE; RASAGILINE TARTRATE; SAFINAMIDE; SAFINAMIDE MESYLATE; SELEGILINE; SELEGILINE HYDROCHLORIDE,LAZABEMIDE,11,仍可探索,MAOB/MAOA功能并行，独立于相互作用标签。,环苯扎林MAOI禁忌和醛氧化酶资料不能支持MAOB；纠正后仍可探索。,cyclobenzaprine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,急性疼痛肌骨病肌痉挛的休息/理疗辅助；限2–3周；不将脑脊髓病痉挛或儿童脑瘫当用途,melancholia,True,JURKNVYFZMSNLP-UHFFFAOYSA-N,CHEMBL224; CHEMBL225,Serotonin 2a (5-HT2a) receptor antagonist; Serotonin 2c (5-HT2c) receptor antagonist,MAOB,CHEMBL2039,CHEMBL279390,"Ki,IC50,Kd",Kd_RECORD_PRESENT,"320782,885769,1464177,1464353,1464362,1650368,1715376,1753079,1787948,1868178,1921316,2058917,2238396,2284159","30041,67006,91071,103878,106422,107936,109499,112137,113965,118770,124318,125594",RASAGILINE MESYLATE: INHIBITOR; RASAGILINE TARTRATE: INHIBITOR; SAFINAMIDE: INHIBITOR; SAFINAMIDE MESYLATE: INHIBITOR; SELEGILINE: INHIBITOR; SELEGILINE HYDROCHLORIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2542372881355932,False,43.0,0.3695798546847018,JURKNVYFZMSNLP-UHFFFAOYSA-N__CHEMBL2039
108,P2 第11–20排名且仍可探索,C384-277,piperacillin,Bacterial penicillin-binding protein,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,11,仍可探索,纯母药稳定性与成熟MME功能确认。,哌拉西林–MME细菌原靶点与人酶不同仍可探索新机制。,piperacillin,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,敏感菌感染含混合感染及限定外科预防,congestive heart failure,True,IVBHGBMCVLDMKU-GXNBUGAJSA-N,CHEMBL2354204,Bacterial penicillin-binding protein inhibitor,MME,CHEMBL1944,CHEMBL289556,"Ki,IC50",Ki_NO_Kd_RECORD,"595725,1812412,2604014,2604015,2640861","49077,110542,136223,137193",RACECADOTRIL: INHIBITOR; SACUBITRIL: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2758620689655172,False,37.0,0.5124733528993727,IVBHGBMCVLDMKU-GXNBUGAJSA-N__CHEMBL1944
109,P2 第11–20排名且仍可探索,C384-111,lisinopril,Angiotensin-converting enzyme,NR3C2 — Mineralocorticoid receptor,DESOXYCORTICOSTERONE ACETATE; DESOXYCORTICOSTERONE PIVALATE; DROSPIRENONE; EPLERENONE; FELODIPINE; FINERENONE; FLUDROCORTISONE ACETATE; NIMODIPINE; SPIRONOLACTONE; VAMOROLONE,ALDOSTERONE,11,仍可探索,已有MR-LBD体系才追加，竞争及功能必须独立确认。,lisinopril–NR3C2的ACE/MR联用不能证结合，依然是可探索的直接受体假说。,lisinopril,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,高血压、收缩性心衰辅助、急性心梗降低死亡；卒中风险降低属CV收益,stroke disorder,False,RLAWWYSOJDYHDC-BZSNNMDCSA-N,CHEMBL1808,Angiotensin-converting enzyme inhibitor,NR3C2,CHEMBL1994,CHEMBL273453,"Kd,IC50",Kd_RECORD_PRESENT,"1658414,1791561","104297,109666",DESOXYCORTICOSTERONE ACETATE: AGONIST; DESOXYCORTICOSTERONE PIVALATE: AGONIST; DROSPIRENONE: ANTAGONIST; EPLERENONE: ANTAGONIST; FELODIPINE: ANTAGONIST; FINERENONE: ANTAGONIST; FLUDROCORTISONE ACETATE: AGONIST; NIMODIPINE: ANTAGONIST; SPIRONOLACTONE: ANTAGONIST; VAMOROLONE: ANTAGONIST,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.3720930232558139,False,28.0,0.4354985135554075,RLAWWYSOJDYHDC-BZSNNMDCSA-N__CHEMBL1994
110,P2 第11–20排名且仍可探索,C384-169,varenicline,Neuronal acetylcholine receptor; alpha4/beta2,ESRRG — Estrogen-related receptor gamma,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BISPHENOL A,11,仍可探索,使用ERRγ域和专用对照，先功能/竞争检测；无配对线索时不优先开发体系。,varenicline–ESRRG属于ERRγ未知作用，使用专用受体对照即可探索，不以ER类比保证阳性。,varenicline,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,口服戒烟辅助；鼻喷干眼症,attention deficit-hyperactivity disorder,False,JQSHBVHOMNKWFT-DTORHVGOSA-N,CHEMBL1907589,Neuronal acetylcholine receptor; alpha4/beta2 agonist; Neuronal acetylcholine receptor; alpha4/beta2 partial agonist,ESRRG,CHEMBL4245,CHEMBL418971,Kd,Kd_RECORD_PRESENT,1331819,81990,,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.1851851851851851,False,40.0,0.3266816771748463,JQSHBVHOMNKWFT-DTORHVGOSA-N__CHEMBL4245
111,P2 第11–20排名且仍可探索,C384-218,bazedoxifene,Estrogen receptor,THRB — Thyroid hormone receptor beta,RESMETIROM,LIOTHYRONINE,11,仍可探索,单成分THRB/THRA竞争及报告，纠正证据归属。,巴多昔芬ERβ和结合球蛋白变化均不是THRB证据，但也不否定THRB探索。,bazedoxifene,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,美国结合雌激素复方治疗绝经血管舒缩症状/预防骨质疏松；欧盟单药治疗绝经后骨质疏松,obesity disorder,False,UCJGJABZCDBEDK-UHFFFAOYSA-N,CHEMBL2093866,Estrogen receptor modulator,THRB,CHEMBL1947,CHEMBL1544,"Kd,IC50,Ki",Kd_RECORD_PRESENT,"210495,210502,321321,471201,493725,821529,1297825","4537,16535,30065,39006,45893,62157,77093",RESMETIROM: AGONIST,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2738095238095238,False,35.0,0.3442466455310452,UCJGJABZCDBEDK-UHFFFAOYSA-N__CHEMBL1947
112,P2 第11–20排名且仍可探索,C384-334,talazoparib,Poly [ADP-ribose] polymerase 1; Poly [ADP-ribose] polymerase 2,MET — Hepatocyte growth factor receptor,AMIVANTAMAB; BEPERMINOGENE PERPLASMID; CABOZANTINIB S-MALATE; CAPMATINIB; CAPMATINIB HYDROCHLORIDE; CRIZOTINIB; TEPOTINIB; TEPOTINIB HYDROCHLORIDE,TEPOTINIB,11,仍可探索,纯MET功能与PARP效应分离。,他拉唑帕尼–MET缺直接支持但可探索新激酶机制，泛癌重叠不是结合反证。,talazoparib,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,限定gBRCA突变HER2阴性乳癌；与enzalutamide联合HRR突变mCRPC,cancer,False,HWGQMRYQVZSGDQ-HZPDHXFCSA-N,CHEMBL3105; CHEMBL5366,Poly [ADP-ribose] polymerase 2 inhibitor; Poly [ADP-ribose] polymerase-1 inhibitor,MET,CHEMBL3717,CHEMBL3402762,"IC50,Kd",Kd_RECORD_PRESENT,"1466073,1555042,1642969,2328904,2436997,2674212","91125,98314,103566,126935,129070,138034",AMIVANTAMAB: INHIBITOR; BEPERMINOGENE PERPLASMID: AGONIST; CABOZANTINIB S-MALATE: INHIBITOR; CAPMATINIB: INHIBITOR; CAPMATINIB HYDROCHLORIDE: INHIBITOR; CRIZOTINIB: INHIBITOR; TEPOTINIB: INHIBITOR; TEPOTINIB HYDROCHLORIDE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2650602409638554,False,38.0,0.4871114255105829,HWGQMRYQVZSGDQ-HZPDHXFCSA-N__CHEMBL3717
113,P2 第11–20排名且仍可探索,C384-335,relebactam,Beta-lactamase; Beta-lactamase CTX-M; Beta-lactamase SHV-1; Beta-lactamase TEM; Carbapenem-hydrolyzing beta-lactamase KPC,MMP8 — Neutrophil collagenase,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,CIPEMASTAT,11,仍可探索,单成分成熟MMP8与金属反筛。,瑞来巴坦抗菌复方用途不是MMP8作用，但不排除宿主酶新机制。,relebactam,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,imipenem/cilastatin/relebactam复方院内肺炎及限定复杂尿路/腹腔感染,pneumonia,False,SMOBCLHAZXOKDQ-ZJUUUORDSA-N,CHEMBL2364670; CHEMBL2725; CHEMBL3562180; CHEMBL5031; CHEMBL5094; CHEMBL6131,Bacterial beta-lactamase TEM inhibitor; Beta-lactamase CTX-M inhibitor; Beta-lactamase SHV-1 inhibitor; Beta-lactamase inhibitor; Carbapenem-hydrolyzing beta-lactamase KPC inhibitor,MMP8,CHEMBL4588,CHEMBL115653,Ki,Ki_NO_Kd_RECORD,105815,15778,DOXYCYCLINE: INHIBITOR; DOXYCYCLINE CALCIUM: INHIBITOR; DOXYCYCLINE HYCLATE: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2077922077922078,False,9.0,0.4696601335001557,SMOBCLHAZXOKDQ-ZJUUUORDSA-N__CHEMBL4588
114,P2 第11–20排名且仍可探索,C384-046,elvitegravir,Human immunodeficiency virus type 1 integrase,ERBB2 — Receptor tyrosine-protein kinase erbB-2,AFATINIB DIMALEATE; DACOMITINIB; DACOMITINIB ANHYDROUS; LAPATINIB DITOSYLATE; MARGETUXIMAB; MASOPROCOL; NERATINIB; NERATINIB MALEATE; PERTUZUMAB; TRASTUZUMAB; TRASTUZUMAB DERUXTECAN; TRASTUZUMAB EMTANSINE; TUCATINIB; ZANIDATAMAB,IBRUTINIB,12,仍可探索,确认纯elvitegravir而非复方及ERBB2激酶域，已有体系才补测。,elvitegravir–ERBB2缺实测仅是知识缺口；使用纯药而非复方是常规解释要求。,elvitegravir,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,含elvitegravir复方抗逆转录病毒方案治疗HIV-1,prostate carcinoma,True,JUZYLCPPVHEVSV-LJQANCHMSA-N,CHEMBL3471,Human immunodeficiency virus type 1 integrase inhibitor,ERBB2,CHEMBL1824,CHEMBL1873475,"IC50,Kd",Kd_RECORD_PRESENT,"1754937,1846528,1857790,2220464,2344427,2433402,2573566,2607643","108030,111581,111847,123689,127333,128998,131167,136335",AFATINIB DIMALEATE: INHIBITOR; DACOMITINIB: INHIBITOR; DACOMITINIB ANHYDROUS: INHIBITOR; LAPATINIB DITOSYLATE: INHIBITOR; MARGETUXIMAB: INHIBITOR; MASOPROCOL: INHIBITOR; NERATINIB: INHIBITOR; NERATINIB MALEATE: INHIBITOR; PERTUZUMAB: INHIBITOR; TRASTUZUMAB: INHIBITOR; TRASTUZUMAB DERUXTECAN: BINDING AGENT; TRASTUZUMAB EMTANSINE: BINDING AGENT; TUCATINIB: INHIBITOR; ZANIDATAMAB: INHIBITOR,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2929292929292929,False,34.0,0.305056823974332,JUZYLCPPVHEVSV-LJQANCHMSA-N__CHEMBL1824
115,P2 第11–20排名且仍可探索,C384-047,ivabradine,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,FGFR2 — Fibroblast growth factor receptor 2,PALIFERMIN; PEMIGATINIB; REGORAFENIB; TRAFERMIN,FEXAGRATINIB,12,仍可探索,先找FGFR2直接证据，若已有蛋白则少量侦察并复核激酶功能。,ivabradine–FGFR2没有直接证据与较弱近邻不代表不可能，已有体系可以侦察。,ivabradine,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,限定窦律HFrEF降低心衰住院；儿童扩张型心肌病症状性心衰,benign prostatic hyperplasia,True,ACRHBAYQBXXRTO-OAQYLSRUSA-N,CHEMBL1250417,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4 blocker,FGFR2,CHEMBL4142,CHEMBL3348846,"IC50,Kd",Kd_RECORD_PRESENT,"1466061,1572613,1572615,1572805,1668738,1668798,1668807,1705763,1923461,1923483,2148656,2265283","91122,99169,104675,106067,114066,121588,124991",PALIFERMIN: AGONIST; PEMIGATINIB: INHIBITOR; REGORAFENIB: INHIBITOR; TRAFERMIN: AGONIST,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.2584269662921348,False,33.0,0.5250811955431215,ACRHBAYQBXXRTO-OAQYLSRUSA-N__CHEMBL4142
116,P2 第11–20排名且仍可探索,C384-048,cilastatin,Dipeptidase 1,PPARG — Peroxisome proliferator-activated receptor gamma,BALSALAZIDE DISODIUM; MESALAMINE; OLSALAZINE SODIUM; PIOGLITAZONE HYDROCHLORIDE,REVERSE TRIIODOTHYRONINE,12,仍可探索,精确单体核对后，仅在PPARG体系成熟时候补；功能方向与鼻窦炎价值另证。,cilastatin–PPARG不能由复方抗感染或表格并列推直接作用，单体受体探索仍成立。,cilastatin,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。,原临床用途为 imipenem/cilastatin 静脉复方中的肾脱氢肽酶抑制保护组分；复方治疗敏感菌呼吸、泌尿、腹腔、妇科、皮肤、骨关节感染及菌血症/心内膜炎,chronic rhinosinusitis,True,DHSUYTOATWAVLW-WFVMDLQDSA-N,CHEMBL1989,Renal dipeptidase inhibitor,PPARG,CHEMBL235,CHEMBL1743304,Kd,Kd_RECORD_PRESENT,1995679,116804,BALSALAZIDE DISODIUM: AGONIST; MESALAMINE: AGONIST; OLSALAZINE SODIUM: AGONIST; PIOGLITAZONE HYDROCHLORIDE: AGONIST,ChEMBL37：精确靶点ID＋直接机制记录＋max_phase=4＋未标记撤市；不保证当前上市状态，也不证明适合作SPR对照,来自冻结另计对照；可能为研究化合物，非必然获批药；尚需确认SPR适用性,0.1643835616438356,False,8.0,0.3181820086266469,DHSUYTOATWAVLW-WFVMDLQDSA-N__CHEMBL235
