排序,优先级,原候选编号,小分子药物名称,旧靶点名称,新靶点名称,新靶点的已知药物名称,新靶点实验参考化合物名称,结合排名_每药384靶点,当前实验建议,需先确认的事项,名称与实物核验说明
245,P3 先解决具体问题,C384-154,bempedoic acid,ATP-citrate synthase,MMP3 — Stromelysin-1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,ILOMASTAT,3,先解决具体问题,核对实际受测为母体；检查溶解度、金属依赖及MMP3活性，出现特异效应再升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
246,P3 先解决具体问题,C384-223,olmesartan,Type-1 angiotensin II receptor,MME — Neprilysin,RACECADOTRIL; SACUBITRIL,OMAPATRILAT,3,先解决具体问题,按活性体核对采购/配液；前药独立编号。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
247,P3 先解决具体问题,C384-081,duvelisib,"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform; Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform",HDAC11 — Histone deacetylase 11,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,PANOBINOSTAT,4,先解决具体问题,先核近邻结构有无新增HDAC药效团，再测纯母药酶活及结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
248,P3 先解决具体问题,C384-118,nilotinib,Bcr/Abl fusion protein; Tyrosine-protein kinase ABL1,GART — Trifunctional purine biosynthetic protein adenosine-3,PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE,CHEMBL5653589,4,先解决具体问题,先确认预测对应GART哪一催化域及可溶浓度，酶活有支持再测结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
249,P3 先解决具体问题,C384-041,landiolol,Beta-1 adrenergic receptor,CYP26A1 — Cytochrome P450 26A1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,TALAROZOLE,4,先解决具体问题,先核药物稳定性和血红素构建；对照可靠后才追加。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
250,P3 先解决具体问题,C384-104,rilpivirine,Human immunodeficiency virus type 1 reverse transcriptase,YES1 — Tyrosine-protein kinase Yes,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,4,先解决具体问题,先查原始激酶panel的YES1列和浓度，缺失时再直接结合/酶活。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
251,P3 先解决具体问题,C384-075,capmatinib,Hepatocyte growth factor receptor,EZH2 — Histone-lysine N-methyltransferase EZH2,TAZEMETOSTAT HYDROBROMIDE,GSK2816126,4,先解决具体问题,确认PRC2/催化构建和甲基转移酶活性，结合阳性后区分MET间接影响。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
252,P3 先解决具体问题,C384-155,bempedoic acid,ATP-citrate synthase,HMGCR — 3-hydroxy-3-methylglutaryl-coenzyme A reductase,ATORVASTATIN CALCIUM; FLUVASTATIN SODIUM; LOVASTATIN; PITAVASTATIN CALCIUM; PITAVASTATIN MAGNESIUM; PITAVASTATIN SODIUM; PRAVASTATIN SODIUM; ROSUVASTATIN CALCIUM; SIMVASTATIN,ATORVASTATIN,4,先解决具体问题,除非有独立HMGCR酶学/结合证据，不以降脂疗效作为SPR支持；核对物种、构建和受测形式。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
253,P3 先解决具体问题,C384-224,thalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC11 — Histone deacetylase 11,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,PANOBINOSTAT,4,先解决具体问题,确认专用底物及参考物，随后可探索母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
254,P3 先解决具体问题,C384-289,nicotine,Neuronal acetylcholine receptor; alpha4/beta2,CYP46A1 — Cholesterol 24-hydroxylase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,VORICONAZOLE,4,先解决具体问题,只测试身份浓度明确的纯尼古丁，不把树脂制剂直接注入。,模型为NICOTINE小分子，源名称为nicotine polacrilex树脂制剂；实际待测实体未确认，仍属P3，不能因更正显示名视为问题已解除。
255,P3 先解决具体问题,C384-306,hydroxychloroquine,Ferriprotoporphyrin IX; Toll-like receptor 7; Toll-like receptor 9,CTSC — Dipeptidyl peptidase 1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,BRENSOCATIB,4,先解决具体问题,成熟CTSC/CTSL并行且控制pH，确认直接作用。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
256,P3 先解决具体问题,C384-083,paroxetine,Sodium-dependent serotonin transporter,MAOB — Amine oxidase [flavin-containing] B,RASAGILINE MESYLATE; RASAGILINE TARTRATE; SAFINAMIDE; SAFINAMIDE MESYLATE; SELEGILINE; SELEGILINE HYDROCHLORIDE,LAZABEMIDE,5,先解决具体问题,核论文paroxetine对应MAOB数值、物种与浓度；若弱效则后置，若可靠直接作用则作为机制确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
257,P3 先解决具体问题,C384-107,lenalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC2 — Histone deacetylase 2,VORINOSTAT,CHEMBL235842,5,先解决具体问题,核近邻结构和母药酶活，避免将蛋白互作或衍生物当结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
258,P3 先解决具体问题,C384-005,ranolazine,Sodium channel protein type 4 subunit alpha; Sodium channel protein type 5 subunit alpha,IGF1R — Insulin-like growth factor 1 receptor,MASOPROCOL; MECASERMIN; MECASERMIN RINFABATE; TEPROTUMUMAB,LINSITINIB,5,先解决具体问题,明确使用激酶域还是胞外域；仅在匹配构建对照通过后测结合并补酶活。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
259,P3 先解决具体问题,C384-028,nimodipine,Mineralocorticoid receptor; Voltage-gated L-type calcium channel,F7 — Coagulation factor VII,COAGULATION FACTOR VII HUMAN; EPTACOG ALFA (ACTIVATED); EPTACOG BETA (ACTIVATED),CHEMBL3127491,5,先解决具体问题,先明确F7a而非酶原体系，对照未通过不投入候选。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
260,P3 先解决具体问题,C384-029,articaine,Sodium channel alpha subunit,XDH — Xanthine dehydrogenase/oxidase,ALLOPURINOL; ALLOPURINOL SODIUM; FEBUXOSTAT,TOPIROXOSTAT,5,先解决具体问题,补尿酸生成等不依赖ROS读出的酶活，再验证匹配人XDH/XO结合。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
261,P3 先解决具体问题,C384-105,pemigatinib,Fibroblast growth factor receptor 1; Fibroblast growth factor receptor 2; Fibroblast growth factor receptor 3,CDK9 — Cyclin-dependent kinase 9,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,DINACICLIB,5,先解决具体问题,用CDK9/cyclin匹配构建与酶活，阳性后再评病毒与宿主效应。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
262,P3 先解决具体问题,C384-106,rilpivirine,Human immunodeficiency virus type 1 reverse transcriptase,FYN — Tyrosine-protein kinase Fyn,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,DASATINIB ANHYDROUS,5,先解决具体问题,先追已发现原药激酶panel，缺FYN时才配合YES1验证，避免两对都作独立强证据。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
263,P3 先解决具体问题,C384-108,teriflunomide,"Dihydroorotate dehydrogenase (quinone), mitochondrial",XDH — Xanthine dehydrogenase/oxidase,ALLOPURINOL; ALLOPURINOL SODIUM; FEBUXOSTAT,TOPIROXOSTAT,5,先解决具体问题,确认模型是teriflunomide而非leflunomide，核XDH/XO状态，直接酶活后再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
264,P3 先解决具体问题,C384-165,baricitinib,Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2,HDAC11 — Histone deacetylase 11,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,PANOBINOSTAT,5,先解决具体问题,先用匹配长链去酰化读出和活性HDAC11体系检测母药，不能以普通去乙酰化阴性/阳性替代。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
265,P3 先解决具体问题,C384-087,dabrafenib,Serine/threonine-protein kinase B-raf,"PIK3CA — Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform",ALPELISIB; COPANLISIB; COPANLISIB HYDROCHLORIDE; INAVOLISIB,WORTMANNIN,5,先解决具体问题,确认PI3Kα构建/突变、直接酶活与结合，若仅细胞间接变化不升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
266,P3 先解决具体问题,C384-109,ruxolitinib,Non-receptor tyrosine-protein kinase TYK2; Tyrosine-protein kinase JAK1; Tyrosine-protein kinase JAK2; Tyrosine-protein kinase JAK3,HDAC11 — Histone deacetylase 11,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,PANOBINOSTAT,6,先解决具体问题,查最近邻是否新增HDAC锌结合端，纯母药酶活阳性后再投入SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
267,P3 先解决具体问题,C384-030,alvimopan,Mu-type opioid receptor,EGLN3 — Prolyl hydroxylase EGLN3,VADADUSTAT,CHEMBL3133890,6,先解决具体问题,只有含所需辅因子的EGLN3体系成熟时再侦察，并补羟化酶功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
268,P3 先解决具体问题,C384-264,retapamulin,70S ribosome,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,EVEROLIMUS; PIMECROLIMUS; SIROLIMUS; TACROLIMUS; TEMSIROLIMUS,SIROLIMUS,6,先解决具体问题,实测可溶浓度、合格FKBP对照及非特异吸附。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
269,P3 先解决具体问题,C384-267,pomalidomide,CRL4(CRBN) E3 ubiquitin ligase,HDAC11 — Histone deacetylase 11,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,PANOBINOSTAT,6,先解决具体问题,固定母药，专用去酰化功能和对照测通后可测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
270,P3 先解决具体问题,C384-309,brivaracetam,Synaptic vesicle glycoprotein 2A,CYP46A1 — Cholesterol 24-hydroxylase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,VORICONAZOLE,6,先解决具体问题,胆固醇转化读数和参考物测通。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
271,P3 先解决具体问题,C384-311,meropenem,Bacterial penicillin-binding protein,MMP7 — Matrilysin,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,PRINOMASTAT,6,先解决具体问题,记录稳定性和成熟MMP7对照，合格可测。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
272,P3 先解决具体问题,C384-320,mirdametinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2,HDAC11 — Histone deacetylase 11,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,PANOBINOSTAT,6,先解决具体问题,专用底物及参考物合格再测母药。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
273,P3 先解决具体问题,C384-123,esmolol,Beta-1 adrenergic receptor; Beta-2 adrenergic receptor,CA7 — Carbonic anhydrase 7,METHAZOLAMIDE,ETHOXZOLAMIDE,7,先解决具体问题,先确认化合物在实验缓冲液中的稳定性，用CA7酶活与阳性对照验证；初步支持后再配置浓度梯度SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
274,P3 先解决具体问题,C384-202,ivabradine,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,"CYP11B2 — Cytochrome P450 11B2, mitochondrial",LEVOKETOCONAZOLE,OSILODROSTAT,7,先解决具体问题,先使CYP11B2产物及参考物响应测通，再解释候选。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
275,P3 先解决具体问题,C384-203,epinephrine,Adrenergic receptor,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,7,先解决具体问题,记录样品稳定性与纯酶干扰，区分氧化产物。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
276,P3 先解决具体问题,C384-206,eltrombopag,Thrombopoietin receptor,LCK — Tyrosine-protein kinase Lck,PAZOPANIB HYDROCHLORIDE,DASATINIB ANHYDROUS,7,先解决具体问题,定义预期免疫作用方向；若仅做结合侦察，可与疾病疗效脱钩。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
277,P3 先解决具体问题,C384-265,vorapaxar,Proteinase-activated receptor 1,DPP4 — Dipeptidyl peptidase 4,ALOGLIPTIN BENZOATE; ANAGLIPTIN; EVOGLIPTIN; GOSOGLIPTIN; LINAGLIPTIN; OMARIGLIPTIN; SAXAGLIPTIN HYDROCHLORIDE; SITAGLIPTIN FUMARATE; SITAGLIPTIN HYDROCHLORIDE MONOHYDRATE; SITAGLIPTIN PHOSPHATE; TENELIGLIPTIN; TRELAGLIPTIN SUCCINATE; VILDAGLIPTIN,LINAGLIPTIN,7,先解决具体问题,确认实际溶解浓度和聚集情况，再做DPP4功能。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
278,P3 先解决具体问题,C384-119,bazedoxifene,Estrogen receptor,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,ALECTINIB HYDROCHLORIDE; PRALSETINIB; QUIZARTINIB; REGORAFENIB; SELPERCATINIB; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE; VANDETANIB,STAUROSPORINE,7,先解决具体问题,先确认纯母体工作液及RET域；直接作用与肥胖方向均需验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
279,P3 先解决具体问题,C384-133,hydroxychloroquine,Ferriprotoporphyrin IX; Toll-like receptor 7; Toll-like receptor 9,TYK2 — Non-receptor tyrosine-protein kinase TYK2,DEUCRAVACITINIB; DEURUXOLITINIB PHOSPHATE; FILGOTINIB; FILGOTINIB MALEATE; UPADACITINIB HEMIHYDRATE,STAUROSPORINE,7,先解决具体问题,先明确所测域及域匹配对照，SPR后验证相应细胞信号方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
280,P3 先解决具体问题,C384-312,perampanel,Glutamate receptor ionotropic AMPA,CYP46A1 — Cholesterol 24-hydroxylase,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,VORICONAZOLE,7,先解决具体问题,胆固醇产物读出合格再探索抑制/激活。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
281,P3 先解决具体问题,C384-168,aripiprazole,5-hydroxytryptamine receptor 1A; 5-hydroxytryptamine receptor 2A; D(2) dopamine receptor,MAOB — Amine oxidase [flavin-containing] B,RASAGILINE MESYLATE; RASAGILINE TARTRATE; SAFINAMIDE; SAFINAMIDE MESYLATE; SELEGILINE; SELEGILINE HYDROCHLORIDE,LAZABEMIDE,8,先解决具体问题,先复核阴性近邻受测条件及MAOB酶活，使用aripiprazole实体而非lauroxil前药；有一致效应再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
282,P3 先解决具体问题,C384-072,calcipotriene,Vitamin D3 receptor,EGLN3 — Prolyl hydroxylase EGLN3,VADADUSTAT,CHEMBL3133890,8,先解决具体问题,先确认工作液和成熟羟化酶体系，有直接活性才升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
283,P3 先解决具体问题,C384-208,imipenem,Bacterial penicillin-binding protein,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,8,先解决具体问题,确认单一母药和测定期间稳定性后可探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
284,P3 先解决具体问题,C384-315,meloxicam,Prostaglandin G/H synthase 2,DHFR — Dihydrofolate reductase,METHOTREXATE; METHOTREXATE SODIUM; PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE; PRALATREXATE,CHEMBL310759,8,先解决具体问题,取回逐药表；未包含则仍可探索，包含则按实际端点分类。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
285,P3 先解决具体问题,C384-324,crisaborole,Phosphodiesterase 4,FAAH — Fatty-acid amide hydrolase 1,ACETAMINOPHEN,MK-3168,8,先解决具体问题,纯化合物实际浓度达标，不用软膏制剂直接测试。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
286,P3 先解决具体问题,C384-327,deutetrabenazine,Synaptic vesicular amine transporter,UGCG — Ceramide glucosyltransferase,ELIGLUSTAT TARTRATE; MIGLUSTAT,ELIGLUSTAT,8,先解决具体问题,UGCG脂质产物及参考物先测通，实体与模型一致。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
287,P3 先解决具体问题,C384-363,tazemetostat,Histone-lysine N-methyltransferase EZH2,DHFR — Dihydrofolate reductase,METHOTREXATE; METHOTREXATE SODIUM; PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE; PRALATREXATE,CHEMBL310759,8,先解决具体问题,确认可溶浓度/聚集及DHFR纯酶读数，不靠类器官表型。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
288,P3 先解决具体问题,C384-026,zavegepant,"Calcitonin gene-related peptide type 1 receptor; Calcitonin-gene-related peptide receptor, CALCRL/RAMP1",INSR — Insulin receptor,"INSULIN ASPART; INSULIN ASPART PROTAMINE RECOMBINANT; INSULIN DEGLUDEC; INSULIN DETEMIR; INSULIN GLARGINE; INSULIN GLULISINE; INSULIN HUMAN; INSULIN HUMAN ZINC; INSULIN HUMAN, ISOPHANE; INSULIN ICODEC; INSULIN LISPRO; INSULIN LISPRO PROTAMINE RECOMBINANT; INSULIN PORK; INSULIN PURIFIED BEEF; INSULIN PURIFIED PORK; INSULIN SUSP ISOPHANE BEEF; INSULIN SUSP ISOPHANE RECOMBINANT HUMAN; INSULIN SUSP ISOPHANE SEMISYNTHETIC PURIFIED HUMAN; INSULIN ZINC SUSP RECOMBINANT HUMAN; INSULIN, NEUTRAL; INSULIN, PROTAMINE ZINC",STAUROSPORINE,9,先解决具体问题,明确INSR胞外/激酶域；有成熟对照体系才追加，功能方向单独判定。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
289,P3 先解决具体问题,C384-035,olmesartan,Type-1 angiotensin II receptor,EGLN3 — Prolyl hydroxylase EGLN3,VADADUSTAT,CHEMBL3133890,9,先解决具体问题,确认采购酸实体及EGLN3辅因子体系，已有体系时才追加探索。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
290,P3 先解决具体问题,C384-036,atrasentan,Endothelin-1 receptor,ERBB2 — Receptor tyrosine-protein kinase erbB-2,AFATINIB DIMALEATE; DACOMITINIB; DACOMITINIB ANHYDROUS; LAPATINIB DITOSYLATE; MARGETUXIMAB; MASOPROCOL; NERATINIB; NERATINIB MALEATE; PERTUZUMAB; TRASTUZUMAB; TRASTUZUMAB DERUXTECAN; TRASTUZUMAB EMTANSINE; TUCATINIB; ZANIDATAMAB,IBRUTINIB,9,先解决具体问题,核近邻实验物种构建浓度，解释后才决定投入；若做需明确ERBB2激酶域。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
291,P3 先解决具体问题,C384-127,colchicine,Tubulin,FKBP1A — Peptidyl-prolyl cis-trans isomerase FKBP1A,EVEROLIMUS; PIMECROLIMUS; SIROLIMUS; TACROLIMUS; TEMSIROLIMUS,SIROLIMUS,9,先解决具体问题,先消歧疾病节点并核对FKBP1A的直接结合证据；如仍保留，采用FKBP1A配体竞争或功能读出辅助SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
292,P3 先解决具体问题,C384-210,ivabradine,Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 4,"CYP11B1 — Cytochrome P450 11B1, mitochondrial",LEVOKETOCONAZOLE; METYRAPONE; MITOTANE; OSILODROSTAT PHOSPHATE,KETOCONAZOLE,9,先解决具体问题,参考物和产物读数测通，并比较11B2。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
293,P3 先解决具体问题,C384-292,methylnaltrexone,Mu-type opioid receptor,CA2 — Carbonic anhydrase 2,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; BRINZOLAMIDE; DICHLORPHENAMIDE; DORZOLAMIDE HYDROCHLORIDE; METHAZOLAMIDE; TOPIRAMATE,DORZOLAMIDE,9,先解决具体问题,查邻居端点及浓度；CA2成熟平台可低成本核验。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
294,P3 先解决具体问题,C384-120,raloxifene,Estrogen receptor; Estrogen receptor beta,RET — Proto-oncogene tyrosine-protein kinase receptor Ret,ALECTINIB HYDROCHLORIDE; PRALSETINIB; QUIZARTINIB; REGORAFENIB; SELPERCATINIB; SORAFENIB TOSYLATE; SUNITINIB; SUNITINIB MALATE; VANDETANIB,STAUROSPORINE,9,先解决具体问题,先核工作液及RET激酶域，直接酶活/结合阳性才追加疾病验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
295,P3 先解决具体问题,C384-270,olopatadine,Histamine H1 receptor,NR3C1 — Glucocorticoid receptor,ALCLOMETASONE DIPROPIONATE; AMCINONIDE; BECLOMETHASONE DIPROPIONATE; BETAMETHASONE; BETAMETHASONE ACETATE; BETAMETHASONE BENZOATE; BETAMETHASONE DIPROPIONATE; BETAMETHASONE SODIUM PHOSPHATE; BETAMETHASONE VALERATE; BUDESONIDE; CICLESONIDE; CLOBETASOL PROPIONATE; CLOCORTOLONE PIVALATE; CORTISONE ACETATE; CORTIVAZOL; DEFLAZACORT; DESONIDE; DESOXIMETASONE; DEXAMETHASONE; DEXAMETHASONE ACETATE; DEXAMETHASONE SODIUM PHOSPHATE; DIFLORASONE DIACETATE; DIFLUPREDNATE; FLUMETHASONE PIVALATE; FLUNISOLIDE; FLUOCINOLONE ACETONIDE; FLUOCINONIDE; FLUOROMETHOLONE; FLUOROMETHOLONE ACETATE; FLUPREDNISOLONE; FLURANDRENOLIDE; FLUTICASONE FUROATE; FLUTICASONE PROPIONATE; HALCINONIDE; HALOBETASOL PROPIONATE; HYDROCORTAMATE HYDROCHLORIDE; HYDROCORTISONE; HYDROCORTISONE ACETATE; HYDROCORTISONE BUTYRATE; HYDROCORTISONE CYPIONATE; HYDROCORTISONE PROBUTATE; HYDROCORTISONE SODIUM PHOSPHATE; HYDROCORTISONE SODIUM SUCCINATE; HYDROCORTISONE VALERATE; LOTEPREDNOL ETABONATE; MEDRYSONE; MEPREDNISONE; METHYLPREDNISOLONE; METHYLPREDNISOLONE ACETATE; METHYLPREDNISOLONE SODIUM SUCCINATE; MIFEPRISTONE; MOMETASONE FUROATE; PARAMETHASONE ACETATE; PREDNICARBATE; PREDNISOLONE; PREDNISOLONE ACETATE; PREDNISOLONE SODIUM PHOSPHATE; PREDNISOLONE TEBUTATE; PREDNISONE; RIMEXOLONE; TRIAMCINOLONE; TRIAMCINOLONE ACETONIDE; TRIAMCINOLONE DIACETATE; TRIAMCINOLONE HEXACETONIDE; VAMOROLONE,PREDNISONE,9,先解决具体问题,取回逐受体表；据NR3C1覆盖和浓度决定复核。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
296,P3 先解决具体问题,C384-110,amisulpride,Dopamine receptors; D2 & D3; Serotonin (5-HT) receptor,CA2 — Carbonic anhydrase 2,ACETAZOLAMIDE; ACETAZOLAMIDE SODIUM; BRINZOLAMIDE; DICHLORPHENAMIDE; DORZOLAMIDE HYDROCHLORIDE; METHAZOLAMIDE; TOPIRAMATE,DORZOLAMIDE,10,先解决具体问题,核两个近邻身份端点浓度，含锌CA2活性与SPR一致才升级。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
297,P3 先解决具体问题,C384-039,ozanimod,Sphingosine 1-phosphate receptor 1; Sphingosine 1-phosphate receptor 5,EZH2 — Histone-lysine N-methyltransferase EZH2,TAZEMETOSTAT HYDROBROMIDE,GSK2816126,10,先解决具体问题,先核EZH2/PRC2活性构建及参照，已有成熟体系才候补。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
298,P3 先解决具体问题,C384-216,aclidinium,Muscarinic acetylcholine receptor M3,PPARG — Peroxisome proliferator-activated receptor gamma,BALSALAZIDE DISODIUM; MESALAMINE; OLSALAZINE SODIUM; PIOGLITAZONE HYDROCHLORIDE,REVERSE TRIIODOTHYRONINE,10,先解决具体问题,核实液相稳定性、单体身份和PPARG报告方向。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
299,P3 先解决具体问题,C384-332,enzalutamide,Androgen receptor,NTRK1 — High affinity nerve growth factor receptor,REGORAFENIB; REPOTRECTINIB,STAUROSPORINE,10,先解决具体问题,固定NTRK1构建，单药激酶作用后再解释癌种。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
300,P3 先解决具体问题,C384-042,glycopyrronium,Muscarinic acetylcholine receptor; Muscarinic acetylcholine receptor M1; Muscarinic acetylcholine receptor M3,CYP26A1 — Cytochrome P450 26A1,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,TALAROZOLE,11,先解决具体问题,核实际盐及模型结构，在CYP26A1已有有效参照时才侦察。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
301,P3 先解决具体问题,C384-140,dolutegravir,Human immunodeficiency virus type 1 integrase,MAPK8 — Mitogen-activated protein kinase 8,本地ChEMBL37未检出符合口径的药物；见另列参考化合物,STAUROSPORINE,11,先解决具体问题,先核实检索命中的激酶补充表化合物身份，不将未知化合物的MAPK8结果归给本药；再决定酶学或SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
302,P3 先解决具体问题,C384-141,pemigatinib,Fibroblast growth factor receptor 1; Fibroblast growth factor receptor 2; Fibroblast growth factor receptor 3,"PDE3A — cGMP-inhibited 3',5'-cyclic phosphodiesterase 3A",CILOSTAZOL; DYPHYLLINE; IBUDILAST; INAMRINONE LACTATE; MILRINONE LACTATE,CHEMBL4247714,11,先解决具体问题,核对监管完整离靶面板是否实际测试PDE3A，随后配套酶活和SPR验证。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
303,P3 先解决具体问题,C384-229,vigabatrin,"4-aminobutyrate aminotransferase, mitochondrial",MMP8 — Neutrophil collagenase,DOXYCYCLINE; DOXYCYCLINE CALCIUM; DOXYCYCLINE HYCLATE,CIPEMASTAT,11,先解决具体问题,明确研究终点；若仅做结合侦察可保留，不宣称抗疟。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
304,P3 先解决具体问题,C384-333,vardenafil,"cGMP-specific 3',5'-cyclic phosphodiesterase","CYP11B2 — Cytochrome P450 11B2, mitochondrial",LEVOKETOCONAZOLE,OSILODROSTAT,11,先解决具体问题,11B2/11B1选择性和参考物先确认。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
305,P3 先解决具体问题,C384-382,trametinib,Dual specificity mitogen-activated protein kinase kinase 1; Dual specificity mitogen-activated protein kinase kinase 2; Dual specificity mitogen-activated protein kinase kinase; MEK1/2,DHFR — Dihydrofolate reductase,METHOTREXATE; METHOTREXATE SODIUM; PEMETREXED; PEMETREXED DIPOTASSIUM; PEMETREXED DISODIUM; PEMETREXED MONOHYDRATE; PEMETREXED TROMETHAMINE; PRALATREXATE,CHEMBL310759,11,先解决具体问题,人DHFR酶活、溶解与非特异信号合格再SPR。,沿用冻结名单名称；采购时仍须核对结构、盐形、纯度。
